Conference,Team
Mid-Eastern (MEAC),Morgan State
Mid-Eastern (MEAC),N.C. Central
Mid-Eastern (MEAC),Norfolk State
Mid-Eastern (MEAC),Sc State
Mid-Eastern (MEAC),South Carolina State
Missouri Valley (MVC),Belmont
Missouri Valley (MVC),Bradley
Missouri Valley (MVC),Drake
Missouri Valley (MVC),Evansville
Missouri Valley (MVC),Illinois Chicago
Missouri Valley (MVC),Illinois State
Missouri Valley (MVC),Illinois-Chicago
Missouri Valley (MVC),Indiana State
Missouri Valley (MVC),Murray St.
Missouri Valley (MVC),Murray State
Missouri Valley (MVC),Northern Iowa
Missouri Valley (MVC),Southern Ill.
Missouri Valley (MVC),Southern Illinois
Missouri Valley (MVC),Valparaiso
Mountain West (MWC),Air Force
Mountain West (MWC),Boise State
Mountain West (MWC),Colorado St.
Mountain West (MWC),Fresno State
Mountain West (MWC),Grand Canyon
Mountain West (MWC),Nevada
Mountain West (MWC),New Mexico
Mountain West (MWC),San Diego St.
Mountain West (MWC),San Jose St.
Mountain West (MWC),UNLV
Mountain West (MWC),Utah State
Mountain West (MWC),Wyoming
Northeast (NEC),Central Connecticut
Northeast (NEC),Chicago State
Northeast (NEC),Fdu
Northeast (NEC),Le Moyne C (NY)
Northeast (NEC),Liu
Northeast (NEC),Liu Brooklyn
Northeast (NEC),Long Island
Northeast (NEC),Mercyhurst
Northeast (NEC),New Haven
Northeast (NEC),St. Francis (pa.)
Northeast (NEC),St. Francis Brooklyn
Northeast (NEC),Stonehill
Northeast (NEC),Wagner
Ohio Valley (OVC),Eastern Illinois
Ohio Valley (OVC),Lindenwood
Ohio Valley (OVC),Little Rock
Ohio Valley (OVC),Morehead St.
Ohio Valley (OVC),Morehead State
Ohio Valley (OVC),Se Missouri
Ohio Valley (OVC),Siu Edwardsville
Ohio Valley (OVC),Southern Indiana
Ohio Valley (OVC),Tennessee St.
Ohio Valley (OVC),Tennessee Tech
Ohio Valley (OVC),Ut Martin
Ohio Valley (OVC),Western Illinois
PAC-12,Oregon State
PAC-12,Washington St.
PAC-12,Washington State
Patriot,American
Patriot,Army West Point
Patriot,Boston University
Patriot,Bucknell
Patriot,Colgate
Patriot,Holy Cross
Patriot,Lafayette
Patriot,Lehigh
Patriot,Loyola (Md.)
Patriot,Navy
Southeastern (SEC),Alabama
Southeastern (SEC),Arkansas
Southeastern (SEC),Auburn
Southeastern (SEC),Florida
Southeastern (SEC),Georgia
Southeastern (SEC),Kentucky
Southeastern (SEC),Lsu
Southeastern (SEC),Miss State
Southeastern (SEC),Missouri
Southeastern (SEC),Oklahoma
Southeastern (SEC),Ole Miss
Southeastern (SEC),South Carolina
Southeastern (SEC),Tennessee
Southeastern (SEC),Texas
Southeastern (SEC),Texas A&m
Southeastern (SEC),Texas A&M
Southeastern (SEC),Vanderbilt
Southern (SoCon),Chattanooga
Southern (SoCon),East Tenn. St.
Southern (SoCon),Etsu
Southern (SoCon),Furman
Southern (SoCon),Mercer
Southern (SoCon),Samford
Southern (SoCon),The Citadel
Southern (SoCon),Unc-Greensboro
Southern (SoCon),VMI
Southern (SoCon),Western Carolina
Southern (SoCon),Wofford
Southland (SLC),East Texas A&M
Southland (SLC),Houston Christian
Southland (SLC),Incarnate Word
Southland (SLC),Lamar
Southland (SLC),Mcneese State
Southland (SLC),New Orleans
Southland (SLC),Nicholls State
Southland (SLC),Northwestern St.
Southland (SLC),Se Louisiana
Southland (SLC),Stephen F. Austin
Southland (SLC),Texas A&M-Cc
Southland (SLC),Texas A&m-corpus Christi
Southland (SLC),Texas-rio Grande Valley
Southland (SLC),Ut-Rio Grande Valley
Southwestern (SWAC),Alabama A&M
Southwestern (SWAC),Alabama State
Southwestern (SWAC),Alcorn State
Southwestern (SWAC),Arkansas-Pine Bluff
Southwestern (SWAC),Bethune-Cookman
Southwestern (SWAC),Florida A&M
Southwestern (SWAC),Grambling
Southwestern (SWAC),Jackson State
Southwestern (SWAC),Mississippi Val.
Southwestern (SWAC),Mississippi Valley
Southwestern (SWAC),Prairie View
Southwestern (SWAC),Southern
Southwestern (SWAC),Texas Southern
Summit,Kansas City
Summit,Msu Denver
Summit,North Dakota
Summit,North Dakota State
Summit,Omaha
Summit,Oral Roberts
Summit,South Dakota
Summit,South Dakota St.
Summit,St. Thomas (minn.)
Summit,St. Thomas (Minn.)
Sun Belt,App State
Sun Belt,Arkansas State
Sun Belt,Coastal Carolina
Sun Belt,Ga. Southern
Sun Belt,Ga. State
Sun Belt,James Madison
Sun Belt,Louisiana
Sun Belt,Marshall
Sun Belt,South Alabama
Sun Belt,Southern Miss.
Sun Belt,Texas State
Sun Belt,Troy
Sun Belt,Ulm
Western (WAC),Abilene Christian
Western (WAC),Cbu
Western (WAC),Southern Utah
Western (WAC),Tarleton State
Western (WAC),Texas-arlington
Western (WAC),Ut-Arlington
Western (WAC),Utah Tech
Western (WAC),Utah Valley
