Region,Team
Southeast,N.c. Wilmington
Southeast,Nc State
Southeast,Norfolk State
Southeast,North Carolina
Southeast,North Carolina A&T
Southeast,Northern Kentucky
Southeast,Northern Ky.
Southeast,Presbyterian
Southeast,Queens (N.C.)
Southeast,Radford
Southeast,Richmond
Southeast,Sc State
Southeast,South Carolina
Southeast,South Carolina State
Southeast,The Citadel
Southeast,Unc Asheville
Southeast,Unc Wilmington
Southeast,Unc-Asheville
Southeast,Unc-Greensboro
Southeast,Usc Upstate
Southeast,VCU
Southeast,Virginia
Southeast,Virginia Tech
Southeast,VMI
Southeast,Wake Forest
Southeast,Western Carolina
Southeast,Western Kentucky
Southeast,William & Mary
Southeast,Winthrop
Southeast,Wofford
West,Arizona
West,Arizona State
West,Boise State
West,Cal Poly
West,Cal St. Fullerton
West,California
West,Cbu
West,CSU Bakersfield
West,Csun
West,Eastern Washington
West,Fresno State
West,Gonzaga
West,Grand Canyon
West,Hawai'i
West,Idaho
West,Long Beach St.
West,Loyola Marymount
West,Oregon
West,Oregon State
West,Pacific
West,Pepperdine
West,Portland
West,Portland St.
West,Portland State
West,Sacramento St.
West,San Diego
West,San Diego St.
West,San Francisco
West,San Jose St.
West,Santa Clara
West,Seattle U.
West,Southern California
West,St. Mary'S (Cal.)
West,Stanford
West,Uc Davis
West,Uc Irvine
West,Uc Riverside
West,Uc San Diego
West,Uc Santa Barbara
West,Ucla
West,UNLV
West,Utah Tech
West,Washington
West,Washington St.
West,Washington State
